中文,English（参考）
备份全部记录、模板与设置。「存到下载目录」生成 .zip；「导出到文件」分享 .json。导入时两种格式通用，按 ID 合并（同 ID 覆盖、不删除现有数据）,"Backs up records, profiles & settings. Downloads=.zip; Share=.json. Both import by ID (merge, never delete)."
已调起分享：{size} 条记录 / {size} 个模板,Sharing: {size} records / {size} profiles
导出失败：{take},Export failed: {take}
导出 .json,Export .json
从文件导入,Import from File
当前版本：{appVersion},Version: {appVersion}
此系统不支持直存，请用「导出到文件」分享保存,Direct save unsupported - use Share
已保存到 {where},Saved to {where}
存到下载目录（同局域网迁移推荐）,Save to Downloads
确认导入？,ConfirmImport?
将合并导入 {size} 条记录、{size} 个模板,"Merge {size} records, {size} profiles"
及设置项, and settings
。同 ID 覆盖、现有数据保留。,. Same-ID overwrites; nothing deleted.
✅ 导入完成：{size} 条记录 / {size} 个模板,✅ Imported: {size} records / {size} profiles
导入失败：{take},Import failed: {take}
导入,Import
取消,Cancel
跟随控制,Follow Control
入豆自动开始跟随,Auto-follow on charge
点「入豆」时若已选模板，自动进入跟随曲线模式,"With a profile, tapping Charge auto-follows"
跟随前瞻,Lookahead
SV 提前参考 N 秒后的目标值，补偿炉子热惯性（0=关闭）,Look ahead N seconds for roaster lag (0=off)
设备连接,Device
启动时自动连接,Auto-connect on launch
启动应用后自动连接上次的桥接器 IP,Auto-connect last bridge IP
🔵 蓝牙配网,🔵 BluetoothWiFi setup
给桥接器设置 WiFi（无需电脑），配网模式下手机蓝牙直连,Set bridge WiFi via Bluetooth - no PC needed
烘焙事件,Roast Events
深烘模式（显示二爆）,Dark roast mode (2nd crack)
底部事件条增加 二爆/二爆止，意式深烘用,Adds 2nd crack buttons for dark roasts
提示：建议烘焙前先在监控页选好模板（选模板不会立刻开始跟随），投豆瞬间点「入豆」即自动跟随。,Tip: pick a profile before charging (selecting does not start follow); Charge then auto-follows.
支持开发者,Support the Developer
☕ 支持开发者,☕ Support Developer
烤豆永久免费、开源、无广告。如果你觉得它帮到了你，欢迎到爱发电支持。,"RoastCurve is free, open-source, and ad-free. Support us on Afdian if it helps."
🫘 姐妹应用：豆袋 CoffeeBeanTracker,🫘 Sister app: BeanBag
生豆熟豆库存、做一杯扣账、烘焙消耗联动。烘完的豆子它来管。,"Green & roasted inventory, brew deduction, roast sync. It manages your beans."
分享 {filename},Share {filename}
app外部分区/{name},App storage/{name}
透传设备持续无响应：可能已被其他程序占用，或设备刚重启尚未就绪,Passthrough device unresponsive: busy or booting
SV 写入失败（设备无响应）,SV write failed (no response)
